Requirement ID,Status,Confidence,MOE Guide Section,Analysis,Gaps,Auditor Questions,Recommendation
moe_guide_0017,COMPLIANT,1.00,1.8 YLEISKUVAUS TOIMITILOISTA,"The MOE manual adequately addresses the MOE Guide requirement for section 1.8 regarding facilities. It describes the facilities where maintenance will be carried out, including provisions for stores, line stations, and subcontractor workshops. The manual also outlines the necessary protective systems against environmental contaminants, which aligns with the requirements set forth in EASA regulations.",,,Continue to monitor compliance and ensure that any future updates to the facilities or procedures are documented in the MOE.
moe_guide_0018,COMPLIANT,0.90,1.8.1 Korjaamohuoltotilat,"The MOE manual adequately addresses the MOE Guide requirement 1.8.1 by providing detailed information about the base and line maintenance facilities, including specific addresses and locations. The implementation aligns with the regulatory context outlined in EASA EU 1321/2014, particularly sections 1.8.4 and 1.8.6, which require clear identification of hangar availability and the scope of work at line maintenance stations. The description of the Luton Line Maintenance facility confirms that hangar space is available as needed, fulfilling the requirements for line maintenance facilities.",,,Continue monitoring compliance and ensure that any changes in facility availability are documented in the MOE.
moe_guide_0019,COMPLIANT,0.90,1.8.2 Pysyvät linjahuoltotilat,"The MOE manual adequately addresses the MOE Guide requirement 1.8.2 regarding line maintenance facilities. It includes a list of line maintenance locations as per point 145.A.75 (d) and specifies hangar availability, which aligns with the requirements set forth in EASA EU 1321/2014 and AMC/GM. The implementation details in the MOE manual reflect the necessary compliance with the regulatory context, particularly in terms of hangar availability and the scope of work permitted at line maintenance stations.",,,Continue to monitor compliance and ensure that any changes in line maintenance locations or hangar availability are promptly updated in the MOE manual.
moe_guide_0020,COMPLIANT,0.90,1.8.3 Tilapäiset linjahuoltopaikat,"The MOE manual adequately addresses the MOE Guide requirement by including a comprehensive list of line maintenance locations as specified in section 1.8.3. The implementation aligns with the regulatory context outlined in EASA EU 1321/2014, specifically points 145.A.70(a)15 and 145.A.75(d), which require the listing of line station locations linked to the MOE chapters 1.8 and 1.9. The manual provides the necessary details including airport names and addresses, fulfilling the requirements set forth in the regulations.",,,Continue to monitor for any updates in regulatory requirements and ensure that the MOE is reviewed periodically to maintain compliance.
moe_guide_0021,COMPLIANT,0.90,1.8.4 Linjahuoltopaikan hyväksyntä ja käyttö,"The MOE manual adequately addresses the MOE Guide requirement 1.8.4 regarding line maintenance facilities. The description of the Luton Line Maintenance facility in the MOE implementation aligns with the regulatory context provided in EASA EU 1321/2014, specifically REG-2, which requires clear specification of hangar availability and the scope of work permissible at the line station. The MOE manual states that hangar space is available when required, which complies with the requirement to specify hangar availability. Additionally, it mentions that if the hangar facility is not available, this should be clearly stated, which is consistent with the guidance in REG-2.",,,Continue to monitor compliance and ensure that any changes in hangar availability are documented in the MOE.
moe_guide_0022,COMPLIANT,0.95,1.9 ORGANISAATION HUOLTOVALMIUDET JA TYÖN LAAJUUS,"The MOE manual adequately addresses the requirements outlined in the MOE Guide. It includes procedures for using customer job cards and developing work packages, as required by [REG-1]. The manual also specifies the control of maintenance documents and the establishment of necessary resources before commencing work, aligning with [REG-1]. Additionally, it outlines procedures for outsourcing contractors and organizing maintenance personnel, which are consistent with the regulatory context. The shift organization and working time policy are addressed, considering fatigue management as per [REG-1]. Overall, the MOE implementation is comprehensive and aligns with the regulatory requirements.",,,Continue to monitor compliance and ensure regular updates to the MOE manual as regulations evolve.
moe_guide_0023,COMPLIANT,0.90,1.9.1 Organisaation huoltovalmiudet ja niiden määrittäminen,"The MOE manual adequately addresses the requirements set forth in the MOE Guide. It specifies limitations to unscheduled line maintenance and provides a clear definition of line maintenance, aligning with REG-1. Additionally, it outlines procedures for resource availability, job card usage, and shift organization, which are in accordance with REG-2. The manual demonstrates a comprehensive understanding of the necessary procedures and guidelines as per EASA regulations.",,,Continue to monitor and ensure regular updates to the MOE manual to reflect any changes in regulatory requirements.
moe_guide_0024,COMPLIANT,1.00,1.9.2 Organisaation työn laajuus,"The MOE manual adequately addresses the MOE Guide requirement 1.9.2 regarding the scope of the organization. The relevant sections in the MOE implementation align with the regulatory context provided in EASA EU 1321/2014 and AMC/GM. Specifically, the management personnel, their duties, and responsibilities are covered in Part 1, Chapters 1.3, 1.4, and 1.5, which corresponds to the requirements outlined in REG-1. Additionally, the number and categories of staff are addressed in Part 1, Chapter 1.7, fulfilling the requirements of IS.I.OR.250(a)(5). Changes to the ISMS are also documented in Part 1, Chapters 1.10, consistent with REG-1. The composition of the work package is detailed in section 2.13.2, which aligns with REG-2.",,,Continue to monitor compliance and ensure regular updates to the MOE manual as necessary.
moe_guide_0025,COMPLIANT,0.90,1.10 MUUTOSTEN ILMOITTAMINEN,"The MOE manual adequately addresses the MOE Guide requirement for notification procedures regarding changes to the organization's activities, approval, location, and personnel. The section 1.10 in the MOE manual aligns with the regulatory context provided in EASA EU 1321/2014, specifically REG-1, which mandates a notification procedure to the authority for changes. The implementation in the MOE manual is clear and follows the guidelines set forth in the AMC/GM.",,,Continue to monitor for any updates or changes in regulatory requirements to ensure ongoing compliance.
moe_guide_0026,NEEDS_REVIEW,0.70,1.11 ORGANISAATION KÄSIKIRJAN MUUTOSMENETTELY,"The MOE manual partially addresses the MOE Guide requirements but lacks clarity in certain areas. For instance, while the technical log system is mentioned, the specifics regarding the distribution of copies and training on customer operator procedures are not detailed sufficiently. Additionally, the procedures for pooled and loaned parts (L2.5) and return of defective parts (L2.6) need to explicitly reference the associated chapters (2.2, 2.3, 2.19, 2.20) as required by the guide. Furthermore, the critical maintenance tasks and error-capturing methods (L2.7) should be more explicitly defined to ensure compliance with 145.A.75(d).",Insufficient detail on the distribution of technical log copies.; Lack of explicit reference to associated chapters for pooled and loaned parts.; Unclear procedures for critical maintenance tasks and error-capturing methods.,Can you provide detailed procedures for the distribution of technical log copies?; How are the training sessions on customer operator procedures documented?; What specific error-capturing methods are in place for critical maintenance tasks?,"Revise the MOE manual to include detailed procedures for technical log distribution, explicitly reference associated chapters for pooled and loaned parts, and clarify the error-capturing methods for critical maintenance tasks."
moe_guide_0027,COMPLIANT,1.00,2.1 TAVARANTOIMITTAJAN JA ALIHANKKIJOIDEN ARVIOINTI JA VALVONTAMENETELMÄ,"The MOE manual adequately addresses the MOE Guide requirement regarding the evaluation and monitoring of subcontractors. It includes provisions for initial approval, pre-audit, supervision, and management of purchase orders, which align with the regulatory context outlined in EASA EU 1321/2014 and AMC/GM. Specifically, the MOE sections 2.1.4 and 2.1.3 detail the processes for monitoring subcontractors and suppliers, ensuring compliance with the necessary criteria for airworthiness and supplier suitability.",,,Continue to monitor and review the MOE manual regularly to ensure ongoing compliance with any updates to EASA regulations.
moe_guide_0028,COMPLIANT,0.90,"2.2 ILMA-ALUKSEN OSIEN, LAITTEIDEN JA MATERIAALIEN TARKASTUS JA HYVÄKSYNTÄ","The MOE manual adequately addresses the MOE Guide requirement by providing a detailed description of the procedures for receiving components, parts, and materials from external sources, which aligns with the regulatory context outlined in EASA EU 1321/2014 and AMC/GM. The references to 145.A.42 and associated AMC/GM are correctly cited and reflect the necessary compliance with the acceptance and inspection procedures.",,,Continue to monitor compliance and ensure regular updates to the MOE manual as regulations evolve.
moe_guide_0029,COMPLIANT,0.90,"2.3 ILMA-ALUKSEN OSIEN, LAITTEIDEN JA MATERIAALIEN HALLINTA","The MOE manual adequately addresses the MOE Guide requirement 2.3 regarding the storage, tagging, and delivery of components to maintenance. It aligns with the regulatory context provided by EASA EU 1321/2014, specifically 145.A.25(d) and AMC 145.A.25(d), which outline the necessary procedures for managing components. The implementation sections in the MOE manual also cover the required procedures for line maintenance as per REG-2, ensuring comprehensive control over aircraft components and related processes.",,,Continue to monitor compliance and ensure regular updates to the MOE manual as regulations evolve.
moe_guide_0030,NEEDS_REVIEW,0.70,2.3.1 Luokitus,"The MOE manual partially addresses the MOE Guide requirement 2.3.1 regarding classification and definitions. However, it lacks specific details on the classification of components as required by the regulatory context. The implementation of special storage requirements in section 2.3.3 is compliant with the general conditions specified but does not directly address the classification requirements outlined in REG-1 and REG-2.",The MOE manual does not provide a detailed classification of components as required by REG-2.; There is no reference to a capability list as mentioned in the MOE Guide requirement.,Can you provide the capability list that includes the required classification details?; How does the organization ensure that the classification of components is updated and maintained?,Revise the MOE manual to include a detailed classification of components in accordance with REG-2 and ensure a capability list is referenced as per the MOE Guide requirement.
moe_guide_0031,COMPLIANT,1.00,2.3.2 Merkitseminen,"The MOE manual adequately addresses the MOE Guide requirement for tagging and identification of defective components. The implementation in the MOE manual mirrors the requirements set forth in the regulatory context, specifically REG-1 and REG-2. All required information for labeling is included, and the process for handling removed components is clearly outlined.",,,No action required as the MOE manual is compliant.
moe_guide_0032,COMPLIANT,1.00,2.3.3 Varastointi,"The MOE manual adequately addresses the MOE Guide requirement 2.3.3 by detailing special storage requirements for items such as rubber and ESD sensitive devices. The procedures outlined in the MOE manual align with the regulatory context provided in EASA EU 1321/2014, specifically REG-1 and REG-2, which require proper storage procedures and segregation of components. The implementation in the MOE manual is consistent with the requirements for maintaining satisfactory storage conditions, identifying unserviceable components, and restricting access to authorized personnel.",,,No action required as the MOE manual is compliant.
moe_guide_0033,NEEDS_REVIEW,0.70,2.3.4 Luovutus huoltotoimintaan,"The MOE manual addresses the shift/task handover procedures under section 2.26, which aligns with the MOE Guide requirement 2.3.4. However, the implementation details in the MOE manual do not provide sufficient clarity on the specific procedures for handover, as required by REG-1. Additionally, while the release to the maintenance process is mentioned in REG-2, the MOE manual lacks explicit references to how these processes are documented and communicated during handovers.",Lack of detailed procedures for shift/task handover in the MOE manual.; Insufficient documentation on how releases to the maintenance process are communicated during handovers.,Can you provide detailed procedures for shift/task handover?; How are the releases to the maintenance process documented and communicated?,Revise the MOE manual to include detailed procedures for shift/task handover and ensure clear documentation of releases to the maintenance process.
moe_guide_0034,COMPLIANT,0.90,2.3.5 Romutus (mutilointi),"The MOE manual adequately addresses the MOE Guide requirement 2.3.5 Romutus (mutilointi) by including sections 2.15 and 2.25.3, which align with the regulatory context provided in EASA EU 1321/2014. Section 2.15 discusses the rectification of defects arising during maintenance, which is relevant to the handling of mutilation or modification of components. Section 2.25.3 outlines methods to minimize risks, ensuring compliance with safety standards. Both sections are consistent with the requirements set forth in REG-1 and REG-2.",,,Continue to monitor for any updates in regulatory requirements and ensure ongoing training for staff on the implementation of these procedures.
moe_guide_0035,COMPLIANT,1.00,2.4 TYÖKALUJEN JA VARUSTEIDEN HYVÄKSYMINEN,"The MOE manual adequately addresses the MOE Guide requirement for the acceptance of tools and equipment. It includes procedures for acceptance, incoming inspection, and monitoring of tool service providers, which align with the regulatory context outlined in EASA EU 1321/2014 and AMC/GM. The procedures described in the MOE manual are consistent with the requirements specified in 145.A.40(a) and AMC 145.A.40.",,,Continue to monitor compliance and ensure regular updates to the MOE manual as necessary.
moe_guide_0036,NEEDS_REVIEW,0.70,2.4.1 Yleistä,"The MOE manual addresses the requirement in section 2.4.1, but lacks detailed information on fatigue considerations as outlined in the MOE Guide. The implementation of fatigue considerations is noted in [MOE-1], but it is unclear if it fully aligns with the expectations set forth in the regulatory context, particularly GM4 145.A.30(e) and IS.I.OR.200(a)(11). Further review is needed to ensure comprehensive coverage of fatigue management practices.",Insufficient detail on fatigue management practices in the MOE manual.; Lack of clarity on how fatigue considerations are integrated into maintenance practices.,How are fatigue considerations implemented in daily operations?; Is there a documented procedure for managing fatigue among maintenance personnel?,Enhance the MOE manual to include detailed procedures and guidelines for fatigue management in compliance with GM4 145.A.30(e) and IS.I.OR.200(a)(11).
moe_guide_0037,COMPLIANT,1.00,2.4.2 Korvaavan työkalun/varusteen hyväksyntä,"The MOE manual adequately addresses the MOE Guide requirement for the control of alternate tools. The definitions and criteria for using alternate tools are clearly outlined in section 2.6.6 of the MOE, which aligns with the requirements set forth in EASA EU 1321/2014, specifically REG-1 and REG-2. The manual specifies that alternate tools must perform the same task, results must be verifiable, and records must be retained by the Quality Manager, which meets the regulatory expectations.",,,No action required as the MOE is compliant.
moe_guide_0038,NEEDS_REVIEW,0.70,2.4.3 Työkalujen/varusteiden valmistus ja hyväksyntä,"The MOE manual section 2.4.3 outlines procedures for the use of non-manufacturer recommended tools and equipment, which partially aligns with the regulatory requirements specified in EASA EU 1321/2014, particularly AMC 145.A.40(a) and AMC 145.A.40(b). However, it lacks comprehensive details on the acceptance procedures for new, maintained, modified, and calibrated tools/equipment as required by REG-1 and REG-2. Specifically, the MOE does not clearly define the incoming inspection process, monitoring of tool service providers, or the establishment of a list of tool service providers, which are critical components of the acceptance procedure.",Lack of detailed incoming inspection procedures for tools and equipment.; Absence of a monitoring process for tool service providers.; No established list of tool service providers as required.,What specific incoming inspection procedures are in place for tools and equipment?; How does the organization monitor the performance of tool service providers?; Is there a documented list of tool service providers maintained by the Quality Department?,"Enhance the MOE manual to include detailed procedures for incoming inspections, monitoring of tool service providers, and the establishment of a comprehensive list of tool service providers to ensure full compliance with EASA regulations."
moe_guide_0039,COMPLIANT,1.00,2.5 TYÖKALUJEN JA VARUSTEIDEN HUOLTO JA KALIBROINTI,"The MOE manual adequately addresses the MOE Guide requirement 2.5 regarding the inspection, servicing, and calibration of tools and equipment. The implementation in the MOE manual aligns with the regulatory context provided by EASA EU 1321/2014 and AMC/GM. Specifically, the MOE manual includes a comprehensive description of the procedures related to controls, revisions, modifications, checking, and calibrations of tools/equipment, as required by REG-2. Furthermore, it establishes time periods and frequencies for inspection and calibration, identifies responsible personnel, and outlines procedures for tools found out of tolerance, which are all in accordance with the regulatory requirements.",,,No action required as the MOE manual is compliant.
moe_guide_0040,COMPLIANT,1.00,2.5.1 Työkalujen ja välineiden rekisteröinti ja merkitseminen,"The MOE manual adequately addresses the MOE Guide requirement 2.5.1 regarding the inspection, servicing, and calibration of tools and equipment. It specifies that items affecting maintenance quality must be maintained in a serviceable condition and outlines a calibration program, which aligns with REG-1. Additionally, the implementation of section 2.6 regarding the use of tooling and equipment by staff is comprehensive, covering all necessary management procedures as required by REG-2. The manual includes details on tool distribution, serviceability checks, training, and control of alternative tools, fulfilling the AMC/GM requirements.",,,No action required as the MOE manual is compliant.
moe_guide_0041,COMPLIANT,1.00,2.5.2 Kalibroitavien mittavälineiden valvonta,"The MOE manual adequately addresses the MOE Guide requirement 2.5.2 by establishing inspection, servicing, and calibration time periods and frequencies based on manufacturer recommendations, as stated in [MOE-2]. This aligns with the regulatory context outlined in [REG-1] and [REG-2], which require a calibration program that includes the establishment of time periods and frequencies for calibration. The procedures described in the MOE manual are comprehensive and meet the necessary regulatory requirements.",,,No action required as the MOE manual is compliant.
moe_guide_0042,COMPLIANT,1.00,2.5.3 Mittavälineiden hyväksyntä käyttöön,"The MOE manual adequately addresses the requirements outlined in the MOE Guide. Section 2.5 of the MOE manual provides a comprehensive description of the procedures related to the calibration of tools and equipment, including inspection, servicing, and calibration programs, as required by [REG-1] 145.A.40(b) and AMC 145.A.40(b). It specifies the establishment of time periods and frequencies for inspections and calibrations, identifies responsible personnel, and outlines procedures for managing tools found out of tolerance. Additionally, Section 2.4 of the MOE manual covers the acceptance of tools and equipment, aligning with the requirements of [REG-2] 145.A.40(a)i and AMC 145.A.40(a). The procedures for incoming inspections, monitoring of tool service providers, and documentation are clearly defined, ensuring compliance with regulatory expectations.",,,Continue to monitor and review the MOE manual to ensure ongoing compliance with EASA regulations.
moe_guide_0043,COMPLIANT,1.00,2.6 TYÖKALUJEN JA VARUSTEIDEN KÄYTTÖ (ML. VAIHTOEHTOISET TYÖKALUT),"The MOE manual adequately addresses the MOE Guide requirement by detailing management procedures for tooling, including distribution, return, serviceability checks, training, and control of both personal and loan tools. It also covers alternative tools comprehensively, aligning with the requirements set forth in EASA regulations. The descriptions provided in the MOE implementation match the expectations outlined in the regulatory context, ensuring compliance with AMC 145.A.40(a) and AMC 145.A.40(b).",,,No action required as the MOE manual is compliant.
moe_guide_0044,COMPLIANT,1.00,2.7 HUOLTOTILOJEN PUHTAUSLUOKITUS,"The MOE manual adequately addresses the MOE Guide requirement 2.7 by providing a comprehensive procedure for controlling the working environment and facilities. It includes a Foreign Object Exclusion Programme, a Cleaning Programme, and outlines individual responsibilities, timescales, waste material disposal, and special procedures for certain facilities, which aligns with the requirements set forth in EASA regulations. The implementation is consistent with AMC 145.A.25(d) and AMC 145.A.47(a), ensuring environmental control and cleanliness in maintenance operations.",,,No action required as the MOE manual is compliant.
moe_guide_0045,COMPLIANT,0.90,"2.8 HUOLTO-OHJEET, NIIDEN AJAN TASALLA PITO JA KÄYTETTÄVYYS SEKÄ YHTEYS TC-HALTIJOIDEN OHJEISIIN","The MOE manual adequately addresses the MOE Guide requirement by including sections that align with the regulatory context. Specifically, the MOE implementation references maintenance instructions and their relationship to manufacturer instructions, ensuring that updates and availability to staff are covered. This is in line with EASA EU 1321/2014 requirements, particularly REG-1 and REG-2, which emphasize the importance of maintaining current documentation and ensuring accessibility for maintenance personnel.",,,Continue to monitor the updating process of maintenance instructions to ensure ongoing compliance.
