Requirement ID,Status,Confidence,MOE Guide Section,Analysis,Gaps,Auditor Questions,Recommendation
moe_guide_0014,NEEDS_REVIEW,0.80,1.7. MOE Structure ............................................................................................................................................... 20...,"The MOE Manual provides a structured approach to the MOE requirements but lacks clear delineation of EASA-specific sections as mandated. The document includes necessary elements like audit plans and procedures but does not consistently mark which parts are exclusively for EASA compliance, which is a regulatory requirement.",Lack of clear indication of EASA-specific sections in the MOE; Inconsistent application of regulatory approval markings; Ambiguity in the separation of EASA and non-EASA applicable content,Can the organization clearly identify which sections of the MOE are applicable to EASA?; Are there separate procedures for EASA and non-EASA approvals as required?; How does the organization ensure that only EASA-approved sections are enforced under EASA oversight?,Revise the MOE to clearly mark EASA-specific sections or develop stand-alone associated procedures for EASA approval as per regulatory requirements.
moe_guide_0015,NEEDS_REVIEW,0.70,1.7.1. Single MOE document ........................................................................................................................... 20...,"The MOE manual partially addresses the requirement for a single MOE document but lacks clarity in certain sections. The regulatory context [REG-1] specifies the need for a single MOE document, and [MOE-1] provides an acceptable layout. However, the MOE implementation [MOE-2] and [MOE-3] show inconsistencies in formatting and completeness, particularly in the sections related to information security and revision tracking.",Inconsistent formatting in revision tracking section [MOE-3]; Lack of clear procedures for protecting confidentiality of information [MOE-2]; Incomplete distribution list in [MOE-3],Is the MOE document maintained as a single document as per [REG-1]?; Are all revisions and issues tracked numerically as specified in [MOE-3]?; Are procedures for information security clearly defined and implemented as per [MOE-2]?,Revise the MOE to ensure it is maintained as a single document with consistent formatting. Clearly define and document procedures for information security and ensure all revisions are tracked numerically. Complete the distribution list and ensure all sections are up to date.
moe_guide_0016,NEEDS_REVIEW,0.80,1.7.2. MOE supplemented by associated procedures/lists ............................................................................. 20...,"The MOE Manual partially addresses the MOE Guide requirement but contains inconsistencies and potential non-conformities. The revision numbering system appears compliant with numeric-only requirements (REG-1, MOE-2), but the distribution list shows duplicate copy numbers (Copy No. 5 appears twice) which may indicate a control issue. The ISMS integration described in MOE-1 appears comprehensive but requires verification of actual implementation in the referenced sections (1.1, 1.3, 1.4, 1.5, 1.7, 1.10, 1.11, 3.8, 3.12, 3.16, 3.19). MOE-3 shows a detailed ISMS assessment framework but doesn't demonstrate completed implementation.",Duplicate copy numbers in distribution list; Unclear demonstration of completed ISMS implementation; No evidence of actual ISMS policy integration in referenced sections,"Can you demonstrate the actual implementation of ISMS elements in sections 1.1, 1.3-1.5, 1.7, 1.10-1.11?; Why are there duplicate copy numbers (No. 5) in the distribution list?; Where are the completed trustworthiness assessments for staff documented?",1) Correct the distribution list numbering. 2) Provide evidence of implemented ISMS elements in all referenced sections. 3) Document staff trustworthiness assessments per MOE 3A.7 requirements.
moe_guide_0017,NEEDS_REVIEW,0.70,1.7.3. Work instructions .................................................................................................................................. 20...,"The MOE Manual does not clearly address the requirement for work instructions as specified in the MOE Guide (1.7.3). The provided MOE sections [MOE-1] to [MOE-3] focus on grading criteria, human factors, and maintenance data modifications but lack explicit reference to work instruction procedures. Regulatory requirements [REG-1], [REG-2], and [REG-3] emphasize the need for detailed work instructions and parts fabrication processes, which are not adequately covered in the MOE.",No explicit procedure for work instructions in MOE; Lack of reference to parts fabrication as per [REG-2] and [REG-3]; Insufficient detail on maintenance instruction modifications per [MOE-2],Where are the detailed work instruction procedures documented?; How are parts fabrication processes aligned with [REG-2] and [REG-3]?; Is there a risk assessment process for modified maintenance instructions?,"Revise MOE to include explicit work instruction procedures and parts fabrication processes, ensuring alignment with [REG-1], [REG-2], and [REG-3]. Add detailed risk assessment steps for maintenance instruction modifications."
moe_guide_0018,COMPLIANT,0.95,1.7.4. Management Control of the MOE. ........................................................................................................ 21...,"The MOE Manual adequately addresses the MOE Guide requirement for management control of the MOE, including provisions for expert assistance, human performance limitations, and planning of critical tasks. The manual aligns with EASA Part-145 regulations, particularly in sections detailing the control of outside working teams and the consideration of human factors in maintenance planning.","No explicit mention of the procedure for appointing a deputy in case of the Maintenance Manager's absence, though this may be covered in other sections not provided.",Is there a defined procedure for appointing a deputy Maintenance Manager in case of absence?; How is the integration of outside working teams' documentation verified for compliance with the organization's procedures?,"Consider explicitly detailing the procedure for deputy appointments in the MOE to ensure uninterrupted management oversight. Additionally, enhance documentation control procedures for outside working teams to include verification steps."
moe_guide_0019,NEEDS_REVIEW,0.80,1.7.5. Exposition Pages Presentation. .............................................................................................................. 22...,"The MOE Manual does not explicitly address the requirement for an index when using a different format, as specified in AMC1 145.A.70(a). While the MOE provides a structure, it lacks clear cross-referencing for alternative formats. The MOE also does not demonstrate compliance with the detailed presentation and browsing requirements outlined in the AMC to Annex III (Part-66).",Missing index for alternative formats; Inadequate cross-referencing; Lack of detailed browsing or navigation aids,Is there an index for alternative formats?; How are cross-references managed in the MOE?; Are there detailed navigation aids as per AMC to Annex III (Part-66)?,"Include an index for alternative formats, ensure cross-referencing is clear, and add detailed navigation aids to comply with AMC to Annex III (Part-66)."
moe_guide_0020,COMPLIANT,0.90,1.8. MOE Initial Approval Process. ........................................................................................................................ 23...,"The MOE Manual adequately addresses the MOE Guide requirement for the initial approval process and changes not requiring prior approval. It includes the necessary definitions, internal approval processes, and validity conditions as specified in the regulatory context. The manual also provides clear procedures for notifying changes and handling alternative means of compliance.",,,No specific action items required as the MOE Manual is compliant with the regulatory requirements.
moe_guide_0021,COMPLIANT,0.95,1.8.1. First Submission of the “Draft” MOE. .................................................................................................... 23...,"The MOE Manual adequately addresses the MOE Guide requirement by including sections 1.8.1 and 1.8.2, which align with the regulatory context provided in EASA EU 1321/2014. The structure and content of the MOE Manual, including PART 0 – INTRODUCTION, are consistent with the regulatory requirements.",,,No action required as the MOE Manual is compliant with the regulatory requirements.
moe_guide_0022,NEEDS_REVIEW,0.80,"1.8.2. Tracking Changes to the Initial Draft MOE. ........................................................................................... 23

2. MOE Structure and Content ............................","The MOE Manual partially addresses the MOE Guide requirement for tracking changes but lacks clear implementation of the recommended dual numbering system (Issue and Revision) or single numbering system as per [REG-3]. The MOE references [MOE-1] and [MOE-3] indicate some structure but do not explicitly detail the change tracking method (e.g., issue/revision numbering, change identification). The regulatory context [REG-1], [REG-2], and [REG-3] mandates clear identification of changes, which is not fully evident in the provided MOE excerpts.","No explicit mention of issue/revision numbering system in MOE.; Lack of clear identification method for modified text (e.g., vertical bars, highlighting).; Insufficient detail on change tracking in MOE Chapter 1.11 as recommended by [REG-3].","Does Chapter 1.11 of the MOE detail the method for identifying changes (e.g., issue/revision numbers, visual markers)?; Is there a documented process for updating the MOE with new issue/revision numbers and dates?; How are minor vs. major changes differentiated in the MOE revision history?",Revise the MOE to include a clear change tracking system (either dual or single numbering) and ensure all modifications are visibly marked. Update Chapter 1.11 to explicitly describe the chosen method as per [REG-3].
moe_guide_0023,COMPLIANT,0.90,0.1 Table of Contents. .............................................................................................................................................. 25...,"The MOE Manual includes a Table of Contents as required by the MOE Guide (0.1) and aligns with the regulatory context (REG-1, REG-3). The Table of Contents in the MOE (MOE-2) is detailed and structured, covering all necessary sections as per the regulatory requirements. The format and language are consistent with EASA standards.",,,No action required as the MOE Manual is compliant with the Table of Contents requirement.
moe_guide_0024,NEEDS_REVIEW,0.80,0.2 List of Effective Page. ......................................................................................................................................... 26...,"The MOE Manual does not clearly demonstrate compliance with the requirement for a List of Effective Page as per [REG-1] and [REG-2]. The example provided in the MOE Guide shows a detailed traceability format, but the MOE Manual implementation lacks explicit mention or demonstration of such a list. Additionally, [MOE-2] emphasizes the need for clear indication of text applicability to EASA, which is not evident in the provided MOE Manual sections.",Missing explicit List of Effective Page; Lack of clear indication of EASA applicability in the MOE Manual,Is there a List of Effective Page included in the MOE Manual?; How is the applicability to EASA clearly indicated in the MOE Manual?,Include a detailed List of Effective Page in the MOE Manual and clearly mark sections applicable to EASA to ensure compliance with regulatory requirements.
moe_guide_0025,COMPLIANT,0.95,0.3 List of Issues / Amendments Record of Revisions. ............................................................................................. 29...,"The MOE Manual adequately addresses the MOE Guide requirement for the List of Issues/Amendments Record of Revisions. It provides clear instructions on how to manage revisions, including the use of issue and revision numbers, dates, and methods for identifying modified text. The manual aligns with the regulatory context by offering two recommended options for revision identification, as specified in the EASA guidelines.",,,No action required as the MOE Manual is compliant with the regulatory requirements.
moe_guide_0026,NEEDS_REVIEW,0.70,0.4 Distribution List. ................................................................................................................................................. 30...,"The MOE Manual does not clearly address the Distribution List requirement (0.4) as specified in the MOE Guide. The provided MOE sections ([MOE-1], [MOE-2], [MOE-3]) focus on technical knowledge requirements and maintenance standards but do not explicitly mention or detail a Distribution List for the MOE. The regulatory context ([REG-1], [REG-2], [REG-3]) requires a clear distribution list for the MOE and lists of contracted organizations and subcontractors, which are not evident in the provided MOE sections.",Missing explicit Distribution List section in the MOE; No clear reference to lists of contracted organizations or subcontractors,Where is the Distribution List section in the MOE?; Are there separate sections for contracted organizations and subcontractors?; How is the MOE distributed and updated among relevant parties?,"Add a dedicated Distribution List section to the MOE, including details on how the MOE is distributed and maintained. Ensure separate sections for lists of contracted organizations and subcontractors are included, as per regulatory requirements."
moe_guide_0027,NEEDS_REVIEW,0.70,"0.5 Definitions and Abbreviations ............................................................................................................................ 30

PART 1 – GENERAL. ......................","The MOE Manual does not clearly define the required 'Definitions and Abbreviations' section as specified in the MOE Guide Requirement (0.5). The regulatory context [REG-1] and [REG-2] emphasize the need for clear definitions and structured content, which is not explicitly mirrored in the MOE implementation [MOE-1], [MOE-2], [MOE-3]. The MOE Manual includes a table of contents and appendices but lacks a dedicated section for definitions and abbreviations.",Missing 'Definitions and Abbreviations' section; Inadequate structure alignment with regulatory requirements,Is there a separate section for definitions and abbreviations not included in the provided excerpts?; How are terms and abbreviations defined and referenced in the MOE Manual?,"Add a dedicated 'Definitions and Abbreviations' section to the MOE Manual, ensuring all terms used are clearly defined and referenced as per EASA Part-145 requirements."
moe_guide_0028,COMPLIANT,1.00,1.1 Statement by the Accountable Manager. .......................................................................................................... 31...,"The MOE Manual adequately addresses the MOE Guide requirement for the Accountable Manager statement. The MOE implementation mirrors the regulatory context precisely, including the definition, responsibilities, and conditions when the Accountable Manager is not the chief executive officer. All regulatory citations are correctly referenced and implemented in the MOE.",,,No action required as the MOE is fully compliant with the regulatory requirements.
moe_guide_0029,NEEDS_REVIEW,0.80,1.1.1 Access to the Organisation. ....................................................................................................................... 32...,"The MOE Manual partially addresses the MOE Guide requirement by including sections on organizational structure and management personnel. However, it lacks explicit cross-referencing to other related documents as required by AMC1 145.B.200(a)(1)(d). The MOE does mention the complexity of the organizational structure and hierarchies, but it does not clearly link these to the management personnel section (1.3) as required by [REG-2] and [MOE-1]. The MOE also does not explicitly state how the management structure is kept up-to-date and consistent with chapters 1.4 and 1.5, as required by [REG-3].",Lack of explicit cross-referencing to related documents; Insufficient linkage between organizational complexity and management personnel; No clear statement on how the management structure is kept up-to-date and consistent with chapters 1.4 and 1.5,How is the management structure kept up-to-date and consistent with chapters 1.4 and 1.5?; Are there any cross-references to related documents that are not explicitly mentioned in the MOE?; How does the organization ensure that all Part-145 and Part-IS functions are covered under the responsibilities of the nominated persons?,"Update the MOE to include explicit cross-references to related documents, clearly link the organizational complexity to the management personnel section, and provide a statement on how the management structure is kept up-to-date and consistent with chapters 1.4 and 1.5."
moe_guide_0030,NEEDS_REVIEW,0.80,"1.1.2 Immediate reaction to a safety problem, including those arising from information security incidents and
vulnerabilities impacting safety. ...........................................................","The MOE Manual includes relevant sections from AMC1 CAMO.B.135A and AMC1 145.B.135A, but it does not fully address the requirement for immediate reaction to safety problems, including information security incidents and vulnerabilities impacting safety. The MOE lacks specific procedures for a two-step reporting mechanism as suggested in GM1 145.B.135A and does not explicitly mention coordination with other relevant authorities as required by CAMO.B.135A(a).",Lack of two-step reporting mechanism; No explicit mention of coordination with other relevant authorities; Insufficient detail on confidentiality measures for information dissemination,Does the MOE include a two-step reporting mechanism for information security incidents?; How does the MOE ensure coordination with other relevant authorities for information security incidents?; What specific confidentiality measures are in place for disseminating information about vulnerabilities?,"Update the MOE to include a two-step reporting mechanism, explicitly mention coordination with other relevant authorities, and provide detailed procedures for ensuring confidentiality in information dissemination."
moe_guide_0031,COMPLIANT,0.95,"1.2 Safety Policy, Information Security Policy and objectives. ................................................................................ 32...","The MOE Manual adequately addresses the MOE Guide requirement for Safety Policy, Information Security Policy, and objectives. It reflects organizational commitments regarding safety and information security, includes internal reporting principles, and encourages personnel to report maintenance-related errors, incidents, and hazards. The manual also includes a commitment to comply with applicable legislation, provide necessary resources, apply human factors principles, enforce safety as a primary responsibility of all managers, and apply 'just culture' principles. The Information Security Policy is comprehensive, including objectives and performance indicators, and is aligned with aviation safety.",None identified,Is the Information Security Policy periodically reviewed to ensure it remains relevant and appropriate for the organization?; Are the safety objectives communicated throughout the organization and periodically reviewed?; Is there evidence of the accountable manager's endorsement of the safety policy?,Ensure periodic reviews of the Safety and Information Security Policies are documented and that the accountable manager's endorsement is visible and communicated throughout the organization.
moe_guide_0032,NEEDS_REVIEW,0.80,1.3 Management Personnel. .................................................................................................................................... 34...,"The MOE Manual partially addresses the MOE Guide requirement for Management Personnel but lacks some key elements. It identifies the Accountable Manager and some Nominated Personnel with deputies, but does not explicitly list all required managers (e.g., Safety Manager, Compliance Monitoring Manager) or their deputies as per the example structure. The MOE also does not clearly state the procedures for deputising in case of lengthy absence, nor does it mention the cooperation with the Organization Quality Authority or the specific responsibilities regarding safety standards and resource use.",Missing explicit listing of Safety Manager and Compliance Monitoring Manager; No clear procedures for deputising in case of lengthy absence; No mention of cooperation with the Organization Quality Authority; No explicit statement on maintaining safety standards and resource use; NDT Level III is listed but no details on qualifications or responsibilities,Is there a documented procedure for deputising in case of lengthy absence of management personnel?; Are the Safety Manager and Compliance Monitoring Manager explicitly identified in the organizational structure?; How does the organization ensure cooperation with the Quality Authority?; Are there documented procedures to ensure safety standards are not compromised by commercial imperatives?; What are the qualifications and responsibilities of the NDT Level III personnel?,"Update the MOE to include all required management personnel and their deputies, explicitly state procedures for deputising, and include sections on cooperation with the Quality Authority, maintaining safety standards, and proper resource use. Ensure NDT Level III qualifications and responsibilities are documented."
moe_guide_0033,COMPLIANT,0.95,1.4 Duties and Responsibilities of Management Personnel..................................................................................... 36...,"The MOE Manual adequately addresses the MOE Guide requirement for Duties and Responsibilities of Management Personnel. It clearly defines the roles and responsibilities of the Accountable Manager and Quality Manager, aligning with EASA Part-145 requirements. The manual specifies the direct reporting lines and the necessity for deputies, which is in line with the regulatory context provided. The MOE also includes the requirement for nominated persons and their deputies, ensuring compliance with EASA Part-145.A.30(b) and AMC 145.A.30(a)(b).","The MOE does not explicitly mention the role of a Responsible NDT Level 3 if applicable, as per REG-1 1.3.5.","Is there a Responsible NDT Level 3 appointed, and if so, are their responsibilities documented in the MOE?; Are there any additional management personnel roles not listed in the MOE that are required by the organization's scope of work?","Update the MOE to include the role and responsibilities of the Responsible NDT Level 3 if applicable, ensuring all management personnel roles are comprehensively documented."
moe_guide_0034,COMPLIANT,1.00,1.4.1 Accountable Manager. ............................................................................................................................... 37...,"The MOE Manual adequately addresses the MOE Guide requirement for the Accountable Manager by directly incorporating the regulatory text from AMC1 145.A.30(a), AMC M.A.606(a), and AMC1 CAMO.A.305(a). The manual correctly defines the Accountable Manager's role, responsibilities, and conditions under which they may not be the chief executive officer, including the necessity of direct access to the chief executive officer and sufficient funding allocation.",,,No action required as the MOE Manual is fully compliant with the regulatory requirements regarding the Accountable Manager.
moe_guide_0035,COMPLIANT,0.90,1.4.2 Compliance Monitoring Manager for Part-145 and Compliance Monitoring Manager for Part-IS .......... 38...,"The MOE Manual adequately addresses the requirement for a Compliance Monitoring Manager for Part-145 and Part-IS, as specified in the MOE Guide. The manual aligns with AMC1 145.A.30(c);(ca) by clearly defining the roles and responsibilities of the compliance monitoring manager and ensuring independence from maintenance functions. It also references the need for the compliance monitoring manager to have access to all parts of the organisation and any subcontracted organisations, as required by the regulatory context.",,,No specific action items required as the MOE Manual is compliant with the regulatory requirements.
moe_guide_0036,COMPLIANT,0.95,1.4.3 Maintenance Manager (may be Aircraft Base MM and/or Aircraft Line MM and/or Workshop MM). ... 40...,"The MOE Manual adequately addresses the MOE Guide requirement by specifying the roles of Maintenance Manager, which can be subdivided into Aircraft Base MM, Aircraft Line MM, and/or Workshop MM, as per the regulatory flexibility allowed under AMC M.A.606(b). The MOE aligns with the regulatory context by allowing the combination or subdivision of managerial functions based on the organization's size and scope of approval, and it correctly identifies the need for these managers to report to the accountable manager. The MOE also adheres to the requirement of identifying the titles and persons chosen for these functions to the competent authority.",,,No specific action items required as the MOE is compliant with the regulatory requirements.
